"Site_ID","Name","Day","Month","Year","Time","Round","Weather","Temperature","Humidity","Wind","Notes","Plant_genus","Plant_species","Out","Notes_pollinators","Pollinator_id","Pollinator_genus","Pollinator_species","subespecie","Pollinator_sex","morphoespecie","Det","Frequency","Pollinator_gen_sp","Plant_gen_sp"
"Aznalcazar","Curro ",22,2,2015,"10:55:00",1,"sun",9,NA,"No",NA,"Teucrium","fruticans","transect",NA,"no_captured","Apis","mellifera",NA,"worker",NA,NA,11,"Apis mellifera","Teucrium fruticans"
"Aznalcazar","Curro ",22,2,2015,"10:55:00",1,"sun",9,NA,"No",NA,"Teucrium","fruticans","transect",NA,"BF1","Anthophora","dispar",NA,"male",NA,"Oscar Aguado",2,"Anthophora dispar","Teucrium fruticans"
"Aznalcazar","Curro ",22,2,2015,"10:55:00",1,"sun",9,NA,"No",NA,"Teucrium","fruticans","transect",NA,"no_captured","Bombus","terrestris",NA,"queen",NA,NA,4,"Bombus terrestris","Teucrium fruticans"
"Aznalcazar","Curro ",22,2,2015,"10:55:00",1,"sun",9,NA,"No",NA,"Rosmarinus","officinalis","transect",NA,"no_captured","Apis","mellifera",NA,"worker",NA,NA,14,"Apis mellifera","Rosmarinus officinalis"
"Aznalcazar","Curro ",22,2,2015,"10:55:00",1,"sun",9,NA,"No",NA,"Asphodelus","fistulosus","transect",NA,"no_captured","Apis","mellifera",NA,"worker",NA,NA,12,"Apis mellifera","Asphodelus fistulosus"
"Aznalcazar","Curro ",22,2,2015,"10:55:00",1,"sun",9,NA,"No",NA,"Cistus","ladanifer","transect",NA,"no_captured","Apis","mellifera",NA,"worker",NA,NA,3,"Apis mellifera","Cistus ladanifer"
"Aznalcazar","Curro ",22,2,2015,"10:55:00",1,"sun",9,NA,"No",NA,"Asphodelus","fistulosus","transect",NA,"no_captured","Bombus","terrestris",NA,"queen",NA,NA,1,"Bombus terrestris","Asphodelus fistulosus"
"Villamanriquesur","Curro ",22,2,2015,"12:20:00",1,"sun",12,NA,"No",NA,"Rosmarinus","officinalis","transect",NA,"no_captured","Apis","mellifera",NA,"worker",NA,NA,36,"Apis mellifera","Rosmarinus officinalis"
"Villamanriquesur","Curro ",22,2,2015,"12:20:00",1,"sun",12,NA,"No",NA,"Rosmarinus","officinalis","transect",NA,"no_captured","Pieris","rapae",NA,NA,NA,NA,1,"Pieris rapae","Rosmarinus officinalis"
"Villamanriqueeste","Curro ",22,2,2015,"13:45:00",1,"sun",12,NA,"No",NA,"Rosmarinus","officinalis","transect",NA,"BF2","Anthophora","dispar",NA,"male",NA,"Oscar Aguado",1,"Anthophora dispar","Rosmarinus officinalis"
"Villamanriqueeste","Curro ",22,2,2015,"13:45:00",1,"sun",12,NA,"No",NA,"Rosmarinus","officinalis","transect",NA,"no_captured","Apis","mellifera",NA,"worker",NA,NA,8,"Apis mellifera","Rosmarinus officinalis"
"PinaresdeHinojos","Curro ",23,2,2015,"11:00:00",1,"sun",10,NA,"Suave",NA,"Ulex","australis","transect",NA,"no_captured","Bombus","terrestris",NA,"queen",NA,NA,3,"Bombus terrestris","Ulex australis"
"Esparragal","Curro ",24,2,2015,"10:30:00",1,"sun",10,NA,"Fuerte",NA,"Halimium","commutatum","transect",NA,"no_captured","Apis","mellifera",NA,"worker",NA,NA,6,"Apis mellifera","Halimium commutatum"
"LaCunya","Curro ",24,2,2015,"12:00:00",1,"sun",13,NA,"Suave","Viento suave, Rebaño de Cabras pasando por el lateral del transecto ","Halimium","commutatum","transect",NA,"no_captured","Apis","mellifera",NA,"worker",NA,NA,3,"Apis mellifera","Halimium commutatum"
"LaCunya","Curro ",24,2,2015,"12:00:00",1,"sun",13,NA,"Suave",NA,"Rosmarinus","officinalis","transect",NA,"BF3","Lasioglossum","malachurum",NA,"female",NA,"Oscar Aguado",1,"Lasioglossum malachurum","Rosmarinus officinalis"
"LaCunya","Curro ",24,2,2015,"12:00:00",1,"sun",13,NA,"Suave",NA,"Rosmarinus","officinalis","transect",NA,"BF4","Lasioglossum","imminutus",NA,"female",NA,"Oscar Aguado",1,"Lasioglossum imminutus","Rosmarinus officinalis"
"LaRocina","Curro ",24,2,2015,"14:30:00",1,"sun",15,NA,"Fuerte",NA,"Rosmarinus","officinalis","transect",NA,"no_captured","Apis","mellifera",NA,"worker",NA,NA,12,"Apis mellifera","Rosmarinus officinalis"
